Temperature,PH,Soil,Waterlevel,Space,Label
31.1234212,6.5,Well-drained Sandy  Soil,High,0.025,Raddish
31.0238712,6,Well-drained Sandy  Soil,High,0.026,Raddish
29.0756321,7,Well-drained Carbonic Soil,Moderate,0.027,Raddish
31.0761254,7.5,Well-drained Sandy  Soil,High,0.028,Raddish
31.1654211,6.8,Well-drained Sandy  Soil,High,0.029,Raddish
29.1134232,6.8,Well-drained Carbonic Soil,High,0.03,Beet
30.0186751,7,Well drained Carbonic Soil,High,0.031,Beet
27.0278911,6.5,Well drained Carbonic Soil,Moderate,0.032,Beet
27.2758961,7.1,Well drained Carbonic Soil,Moderate,0.033,Beet
29.3682019,6.8,Well drained Carbonic Soil,Moderate,0.034,Beet
28.0186276,7.2,Well drained Carbonic Soil,Moderate,0.035,Beet
27.1345321,6.5,Well-drained Carbonic Soil,Low,1.5,Bitter Guard
26.1235321,6,Well-drained Carbonic Soil,Low,1.51,Bitter Guard
31.1315321,7,Well-drained Carbonic Soil,Moderate,1.52,Bitter Guard
32.1345321,7.2,Well-drained Carbonic Soil,Moderate,1.53,Bitter Guard
33.1345321,6.5,Well-drained Carbonic Soil,Moderate,1.54,Bitter Guard
24.2442124,6.5,Loamy Sandy Soil,High,0.08,Tomato
26.2442124,7.5,Loamy Sandy Soil,High,0.081,Tomato
25.2201124,7,Well drained Loamy Sandy Soil,Low,0.08125,Tomato
27.2442124,6,Well drained Loamy Sandy Soil,Low,0.082,Tomato
28.2442124,6.5,Well drained Loamy Sandy Soil,Low,0.0822,Tomato
27.3412566,6,Well-drained Deep Fertile Loamy Soil ,High,0.16,Capsicum
28.3412562,6.8,Well-drained Deep Fertile Loamy Soil ,High,0.1615,Capsicum
29.3412569,5.5,Well drained Loamy Soil ,Moderate,0.1625,Capsicum
27.3412561,5.7,Well-drained Loamy Soil ,Moderate,0.163,Capsicum
31.3412566,6.5,Well-drained Loamy Soil ,Moderate,0.165,Capsicum
30.1453221,6.5,Well-drained Carbonic Soil,High,1.08,Cucumber
31.1453221,7.5,Well-drained Carbonic Soil,High,1.081,Cucumber
28.1453221,8.5,Well-drained Carbonic Soil,Low,1,Cucumber
29.1453221,9.5,Well-drained Carbonic Soil,Low,1.25,Cucumber
30.1453221,10.5,Well-drained Carbonic Soil,Low,1.5,Cucumber
26.3419233,7.5,Well drained Carbonic Soil,Moderate,9.5,Pumpkin
28.3419233,7,rich humus well drained carbonic Soil,High,6.25,Pumpkin
31.3419233,6.7,rich humus well drained carbonic Soil,High,9.1,Pumpkin
32.2771876,7,Well drained carbonic soil,Moderate,0.5,Pumpkin
32.3419233,6.5,Well drained Carbonic Soil,High,0.5,Pumpkin
28.3717724,5.5,Well drained Loamy Sandy Soil,High,0.04,Beans
29.3717724,6,Well drained Loamy Soil,Moderate,0.0425,Beans
30.3717724,6.5,Well drained Loamy Sandy Soil,High,0.135,Beans
31.3717724,5.8,Well drained Loamy  Soil,Moderate,0.041,Beans
27.2785161,7,Well drained Red Podzolic soil ,Moderate,0.04,Beans 
27.0872772,7.1,Well drained Loamy Sandy Soil,High,0.1352,Beans
29.0179721,6.8,Well drained Red Podzolic soil ,High,0.135,Beans
32.3717724,6.4,Well drained Loamy Sandy Soil,High,0.07522,Beans
27.3444221,5.5,Well drained Carbonic Soil,Moderate,0.06,Squash
28.3444221,6.5,Well drained Carbonic Soil,Moderate,0.065,Squash
29.3444221,7.5,Well drained Carbonic Soil,Moderate,0.06125,Squash
30.3444221,8.5,Well drained Carbonic Soil,Moderate,0.0615,Squash
31.3444221,9.5,Well drained Carbonic Soil,Moderate,0.062,Squash
30.3432014,6.5,Well drained Carbonic Loamy Sandy Soil,High,2.25,Ridged Guard
28.3431014,7.5,Well drained Carbonic Loamy Sandy Soil,High,2.251,Ridged Guard
27.3432031,7,Well drained Carbonic Loamy Sandy Soil,High,5,Ridged Guard
26.3432014,5.5,Well drained Loamy Sandy Soil,Moderate,2.25,Ridged Guard
29.0918821,7,Well drained Loamy Sandy Soil,High,2.21,Ridged Guard
25.3432014,6,Well drained  Loamy Sandy Soil,Moderate,5.1,Ridged Guard
29.3415497,4.1,Well drained Carbonic Loamy Clay Soil,High,0.45,Winged  Beans
